cas number,iso-SMILES,canonical-SMILES
759442-78-9,CC1=CC(=NC=C1)C(=O)CBr,CC1=CC(=NC=C1)C(=O)CBr
919095-46-8,C1=CC=NC(=C1)C(=O)CC(=O)C2=CC=CO2,C1=CC=NC(=C1)C(=O)CC(=O)C2=CC=CO2
710322-29-5,CC(=O)C1=CN=C(C=N1)NC(=O)C(C)(C)C,CC(=O)C1=CN=C(C=N1)NC(=O)C(C)(C)C
858597-92-9,CC(=O)C1=NC=C(C=C1)OCC2=CC=CC=C2,CC(=O)C1=NC=C(C=C1)OCC2=CC=CC=C2
858599-23-2,CC(=O)C1=NC=C(C=C1)NC(=O)OC(C)(C)C,CC(=O)C1=NC=C(C=C1)NC(=O)OC(C)(C)C
364050-21-5,CC1=NC(=CC=C1)C(=O)C(=O)C2=CC3=NC=CN=C3C=C2,CC1=NC(=CC=C1)C(=O)C(=O)C2=CC3=NC=CN=C3C=C2
446880-80-4,CC1=NC(=CC=C1)C(=O)CC2=CC(=NC=C2)Br,CC1=NC(=CC=C1)C(=O)CC2=CC(=NC=C2)Br
147097-80-1,CC1=NC(=CC=C1)C(=O)CBr.Br,CC1=NC(=CC=C1)C(=O)CBr.Br
1669439-48-8,CC(=O)C1=CN=CC(=N1)OC,CC(=O)C1=CN=CC(=N1)OC
1343355-28-1,CC1=CC(=NC=C1)C(=O)C2CC2,CC1=CC(=NC=C1)C(=O)C2CC2
1093114-85-2,CCOC(=O)CC(=O)C1=CN(C=N1)C,CCOC(=O)CC(=O)C1=CN(C=N1)C
1280703-71-0,CC1=C(N=C(S1)Br)C(=O)C,CC1=C(N=C(S1)Br)C(=O)C
1563017-62-8,CCC(=O)C1=NC=C(C=C1)C,CCC(=O)C1=NC=C(C=C1)C
1519375-49-5,CC(=O)C1=COC(=N1)C2CC2,CC(=O)C1=COC(=N1)C2CC2
1377837-92-7,CC1=C(N=C(N1C)C)C(=O)C,CC1=C(N=C(N1C)C)C(=O)C
1539973-82-4,CC(C)C1=NC(=CO1)C(=O)C,CC(C)C1=NC(=CO1)C(=O)C
1521986-79-7,CC(=O)C1=CN2C=CC=NC2=N1,CC(=O)C1=CN2C=CC=NC2=N1
1257211-10-1,CC1=CN=C(C=C1Cl)C(=O)C,CC1=CN=C(C=C1Cl)C(=O)C
