cas number,iso-SMILES,canonical-SMILES
2231674-48-7,CC(C)(C)C12CC(C1)(C2)N.C(=O)(C(F)(F)F)O,CC(C)(C)C12CC(C1)(C2)N.C(=O)(C(F)(F)F)O
258517-97-4,CCC(CC)(C(=O)N)N,CCC(CC)(C(=O)N)N
1423031-36-0,CC1(CCCCC1C(=O)OC)N.Cl,CC1(CCCCC1C(=O)OC)N.Cl
2490375-73-8,C1C(CC1(F)F)(C(F)(F)F)N.Cl,C1C(CC1(F)F)(C(F)(F)F)N.Cl
1266219-00-4,C1CC1(C2=NC3=CC=CC=C3S2)N,C1CC1(C2=NC3=CC=CC=C3S2)N
1248904-11-1,CC(CCN1C=C(C=N1)Br)(C(=O)O)N,CC(CCN1C=C(C=N1)Br)(C(=O)O)N
1179955-98-6,COC(=O)C1(CCCCC2=CC=CC=C21)N,COC(=O)C1(CCCCC2=CC=CC=C21)N
184427-33-6,CCOC(=O)C(C)(C1=CC=C(C=C1)Br)N,CCOC(=O)C(C)(C1=CC=C(C=C1)Br)N
1466756-29-5,CC(CC(=O)OC)C(C)(C)N,CC(CC(=O)OC)C(C)(C)N
1487552-00-0,CCC(CC)(CCO)N,CCC(CC)(CCO)N
1334148-53-6,C1CCCC(CC1)(C2=NOC(=N2)CN)N.Cl,C1CCCC(CC1)(C2=NOC(=N2)CN)N.Cl
887571-12-2,CC1(CCN(CC1)C)N,CC1(CCN(CC1)C)N
585-32-0,CC(C)(C1=CC=CC=C1)N,CC(C)(C1=CC=CC=C1)N
1249197-68-9,CC1=C(C(=NN1CCC(C)(C(=O)N)N)C)Br,CC1=C(C(=NN1CCC(C)(C(=O)N)N)C)Br
1265634-26-1,CC(C)(CN1C=CN=C1)N,CC(C)(CN1C=CN=C1)N
1249378-56-0,C1CCC(CC1)(C2=NC=NN2)N,C1CCC(CC1)(C2=NC=NN2)N
1803590-41-1,C1C(CO1)(C(=O)O)N.Cl,C1C(CO1)(C(=O)O)N.Cl
1248098-68-1,CC1=CC(=NN1CCCC(C)(C(=O)O)N)C,CC1=CC(=NN1CCCC(C)(C(=O)O)N)C
1339352-89-4,CCOC(=O)C(C)(CN1C(=C(C=N1)Cl)C)N,CCOC(=O)C(C)(CN1C(=C(C=N1)Cl)C)N
885500-69-6,C1CNCCC1(C2=CC=C(C=C2)Cl)N.Cl.Cl,C1CNCCC1(C2=CC=C(C=C2)Cl)N.Cl.Cl
2108633-67-4,C1C2(CC1(C2)N)CF.Cl,C1C2(CC1(C2)N)CF.Cl
218449-88-8,CC(CO)(C1=CC(=C(C=C1)F)F)N,CC(CO)(C1=CC(=C(C=C1)F)F)N
17350-84-4,C[C@@](CC1=CC=CC=C1)(C(=O)O)N,CC(CC1=CC=CC=C1)(C(=O)O)N
81132-44-7,C[C@@](CO)(C(=O)O)N,CC(CO)(C(=O)O)N
2197502-05-7,COC12CC(C1)(C2)N.Cl,COC12CC(C1)(C2)N.Cl
1158760-39-4,CC(C)(C)OC(=O)NCC1(CCOC1)N,CC(C)(C)OC(=O)NCC1(CCOC1)N
1526053-89-3,CC1(CCCC1(CO)N)C,CC1(CCCC1(CO)N)C
1380300-52-6,C1COCCC1(C2=CC(=CC=C2)C(F)(F)F)N.Cl,C1COCCC1(C2=CC(=CC=C2)C(F)(F)F)N.Cl
2225141-46-6,CC1(CS(=O)(=O)C1)N.Cl,CC1(CS(=O)(=O)C1)N.Cl
1250530-73-4,CC(C)(CCC1=NC=NN1)N,CC(C)(CCC1=NC=NN1)N
13257-67-5,CC(C)(C(=O)OC)N,CC(C)(C(=O)OC)N
1248186-25-5,CC1=NN(C(=N1)C(C)(C2=CC=CC=C2)N)C,CC1=NN(C(=N1)C(C)(C2=CC=CC=C2)N)C
945419-82-9,CCOC(=O)CC1(CCCCC1)N.Cl,CCOC(=O)CC1(CCCCC1)N.Cl
134425-84-6,COC(=O)C1(CC2=CC=CC=C2C1)N,COC(=O)C1(CC2=CC=CC=C2C1)N
1314769-79-3,CCOC1=CC=CC=C1C(C)(C)N,CCOC1=CC=CC=C1C(C)(C)N
1413936-87-4,CCC(CC)(C(=O)OCC1=CC=CC=C1)N,CCC(CC)(C(=O)OCC1=CC=CC=C1)N
1158758-77-0,CC1(CN(C1)C(=O)OC(C)(C)C)N,CC1(CN(C1)C(=O)OC(C)(C)C)N
1956389-92-6,CN1C=C(C=N1)C2(CC2)N.Cl,CN1C=C(C=N1)C2(CC2)N.Cl
1376046-46-6,C1COCCC1(CC(=O)N)N.Cl,C1COCCC1(CC(=O)N)N.Cl
144800-63-5,C1C2=CC=CC=C2CC1(CN)N,C1C2=CC=CC=C2CC1(CN)N
1251924-11-4,C1C2CC3CC(C2)(CC1C3(C(F)(F)F)O)N,C1C2CC3CC(C2)(CC1C3(C(F)(F)F)O)N
676371-65-6,COC(=O)C12CC(C1)(C2)N.Cl,COC(=O)C12CC(C1)(C2)N.Cl
174543-80-7,CC1(CCCN(C1)C(=O)OCC2=CC=CC=C2)N,CC1(CCCN(C1)C(=O)OCC2=CC=CC=C2)N
1965309-60-7,CC1(CCN(CC1)C(=O)OCC2=CC=CC=C2)N.Cl,CC1(CCN(CC1)C(=O)OCC2=CC=CC=C2)N.Cl
1489072-92-5,CC(C)NC(=O)C1(CC1)N,CC(C)NC(=O)C1(CC1)N
1341871-15-5,CC1=CC=NN1CC(C)(C(=O)O)N,CC1=CC=NN1CC(C)(C(=O)O)N
1183838-76-7,CC(CO)(C1=CC(=C(C=C1)F)Cl)N,CC(CO)(C1=CC(=C(C=C1)F)Cl)N
153002-40-5,CCOC1=CC=C(C=C1)C(C)(C)N,CCOC1=CC=C(C=C1)C(C)(C)N
1374653-38-9,CC(C)(C)OC(=O)N1CCCC(C1)C2(CC2)N,CC(C)(C)OC(=O)N1CCCC(C1)C2(CC2)N
1197231-33-6,COC(=O)C1(CCN(CC1)CC2=CC=CC=C2)N.Cl.Cl,COC(=O)C1(CCN(CC1)CC2=CC=CC=C2)N.Cl.Cl
1266160-60-4,C1CC1(C2=CC(=CC=C2)N)N,C1CC1(C2=CC(=CC=C2)N)N
474709-84-7,C1CC1(C2=CC(=CC=C2)Cl)N,C1CC1(C2=CC(=CC=C2)Cl)N
1250014-05-1,CCCC(C)(C1=NC=NN1C)N,CCCC(C)(C1=NC=NN1C)N
1228879-28-4,C1CC(C1)(C2=CC=CC=C2F)N.Cl,C1CC(C1)(C2=CC=CC=C2F)N.Cl
1504459-88-4,COC(=O)C1(CCC(C1)N2C=CC=N2)N,COC(=O)C1(CCC(C1)N2C=CC=N2)N
1342032-42-1,CC1CC(C1)(C2=CC=CC=C2F)N,CC1CC(C1)(C2=CC=CC=C2F)N
1017450-84-8,C1COCCC1(C2=CC=C(C=C2)Cl)N,C1COCCC1(C2=CC=C(C=C2)Cl)N
1380300-48-0,C1COCCC1(C2=CC=C(C=C2)Br)N.Cl,C1COCCC1(C2=CC=C(C=C2)Br)N.Cl
51973-13-8,CC(CCO)(C1=CC=CC=C1)N,CC(CCO)(C1=CC=CC=C1)N
1247173-30-3,CC1=NN(C(=N1)C)CC(C)(C(=O)N)N,CC1=NN(C(=N1)C)CC(C)(C(=O)N)N
